,АЗС №35400 Кичменгский Городок,АЗС №35401 Великий Устюг-1,АЗС №35402 Великий Устюг-2,АЗС №35403 Дунай,АЗС №35404 Нюксеница,АЗС №35405 Борисово-Судское,АЗС №35406 Журавлево,АЗС №35407 Грязовец-1,АЗС №35408 Грязовец-2,АЗС №35409 Савино,АЗС №35410 Сазоново-1,АЗС №35411 Сазоново-2,АЗС №35412 Вытегра,АЗС №35413 Липник,АЗС №35414 Кириллов,АЗС №35415 Погорелово,АЗС №35416 Тарногский Городок,АЗС №35417 Барское,АЗС №35418 Бабаево,АЗС №35419 Молочное,АЗС №35420 Шексна,АЗС №35421 Кадуй,АЗС №35422 с. Бабушкина,АЗС №35423 Никольск-1,АЗС №35424 Никольск-2,АЗС №35425 Козловка,АЗС №35426 Сямжа,АЗС №35427 Марьинское,АЗС №35428 Ананино,АЗС №35429 Чекшино-1,АЗС №35430 Чекшино-2,АЗС №35431 Тотьма,АЗС №35432 Ботово,АЗС №35433 Сокол,АЗС №35434 Верховажье,АЗС №35435 Устюжна,АЗС №35436 Вожега,АЗС №35437 Харовск,АЗС №35438 Московское шоссе,АЗС №35439 Козленская,АЗС №35440 Мудрова,АЗС №35441 Преображенского,АЗС №35442 Гагарина (Вологда),АЗС №35443 Маршала Конева-1,АЗС №35444 Маршала Конева-2,АЗС №35445 Чернышевского-1,АЗС №35446 Чернышевского-2,АЗС №35447 Ленинградская,АЗС №35448 Водников,АЗС №35449 Нелазское,АЗС №35450 Кирилловское шоссе-1,АЗС №35451 Кирилловское шоссе-2,АЗС №35452 Металлургов,АЗС №35453 Рыбинская,АЗС №35454 Октябрьский пр.-1 (Вологда),АЗС №35455 Октябрьский пр.-2 (Вологда),АЗС №35456 Маяковская,АЗС №35457 Краснодонцев,АЗС №35458 Северсталь,АЗС №35459 Олимпийская,АЗС №35460 Северное шоссе-1,АЗС №35461 Северное шоссе-2,АЗС № 35462 Аксеново,Нефтебаза
АЗС №35447 Ленинградская,478430.6,449261.8,451885.9,314640.1,314965.9,302386.1,452467.4,46566.1,43950.4,211855.7,307824.8,307337.1,325952.1,169303.5,126963.2,158148.7,331992.8,28257.8,293703.8,14926.0,79928.5,169775.2,242057.6,417863.6,414493.3,431446.8,118569.9,11040.0,477093.5,70134.1,70103.1,208365.9,112858.0,40747.2,227041.1,240117.8,179349.4,116132.8,10098.5,7782.6,8869.3,2437.8,577.4,6484.0,5545.5,9175.9,8233.5,0.0,8211.0,136929.8,130101.1,129372.6,134197.6,129156.6,135511.3,135425.4,132451.0,134180.6,136207.8,136183.1,129391.1,130878.1,28105.3,9057.6
АЗС №35448 Водников,475229.4,446060.7,448684.7,311439.0,311764.7,308688.7,449266.2,48542.9,45927.3,208654.5,314127.4,313639.7,328013.6,171365.0,129024.7,154947.5,328791.6,25056.6,300006.4,16987.5,86231.1,176077.8,238856.5,414662.5,411292.2,428245.6,115368.8,13387.7,473892.4,66933.0,66901.9,205164.7,119160.6,37546.0,223839.9,246420.4,176148.2,112931.7,7973.0,4321.9,4071.2,8338.2,8001.6,6457.5,7221.6,5974.7,5032.4,7453.1,0.0,143232.3,136403.7,135675.2,140500.2,135459.2,141813.9,141728.0,138753.5,140483.2,142510.4,142485.7,135693.7,137180.7,34407.8,5589.4
АЗС №35449 Нелазское,613454.3,584285.6,586909.7,449663.9,449989.6,165893.8,587491.2,183520.6,180904.9,346879.4,171332.5,170844.9,334606.8,177958.2,106450.8,293172.4,467016.5,163281.6,157211.5,144271.3,57567.3,33282.9,377081.4,552887.4,549517.1,566470.6,253593.7,140385.4,612117.3,205157.9,205126.9,343389.7,24743.5,175771.0,362064.8,103625.6,314373.1,251156.6,144898.6,142582.7,143669.4,135246.1,136427.4,142723.3,141784.8,143975.9,143033.6,137029.8,143011.1,0.0,18712.0,19358.6,18292.1,24194.8,21662.9,21577.1,18999.9,22596.4,17903.0,25392.1,19357.4,20844.5,108880.0,143857.7
АЗС №35450 Кирилловское шоссе-1,605760.9,576592.2,579216.2,441970.5,442296.2,185032.9,579797.7,175827.1,173211.5,339186.0,190471.6,189984.0,326913.4,170264.8,98757.4,285479.0,459323.1,155588.2,176350.6,136577.9,49873.9,52422.0,369388.0,545194.0,541823.7,558777.1,245900.3,132692.0,604423.9,197464.5,197433.4,335696.2,17050.1,168077.6,354371.4,122764.7,306679.7,243463.2,137205.2,134889.3,135975.9,127552.6,128734.0,135029.9,134091.4,136282.5,135340.2,129336.4,135317.7,19576.6,0.0,698.6,5523.6,9369.2,6837.3,6751.4,3777.0,5487.0,7533.9,7489.5,697.5,2184.5,101186.6,136164.2
АЗС №35451 Кирилловское шоссе-2,606457.3,577288.6,579912.6,442666.9,442992.6,184354.2,580494.1,176523.5,173907.8,339882.4,189792.9,189305.3,327609.8,170961.2,99453.8,286175.4,460019.5,156284.5,175671.9,137274.3,50570.3,51743.3,370084.3,545890.4,542520.0,559473.5,246596.7,133388.4,605120.3,198160.8,198129.8,336392.6,17746.5,168773.9,355067.8,122085.9,307376.1,244159.5,137901.6,135585.7,136672.3,128249.0,129430.3,135726.2,134787.7,136978.9,136036.6,130032.8,136014.1,18897.9,748.4,0.0,4844.9,8690.5,6158.6,6072.7,3098.3,4632.9,6855.2,7428.5,1393.8,2880.9,101883.0,136860.6
АЗС №35452 Металлургов,610542.1,581373.4,583997.4,446751.7,447077.4,183606.9,584578.9,180608.3,177992.6,343967.2,189045.6,188558.0,331694.6,175046.0,103538.6,290260.2,464104.3,160369.3,174924.6,141359.1,54655.1,50996.0,374169.1,549975.2,546604.8,563558.3,250681.5,137473.2,609205.1,202245.6,202214.6,340477.4,21831.3,172858.7,359152.6,121338.6,311460.9,248244.3,141986.4,139670.5,140757.1,132333.8,133515.1,139811.0,138872.5,141063.7,140121.3,134117.6,140098.9,18150.6,4833.2,5479.8,0.0,7282.9,4751.0,4665.1,1855.5,6012.7,2432.2,8808.4,5478.6,6965.7,105967.8,140945.4
АЗС №35453 Рыбинская,605608.9,576440.2,579064.2,441818.5,442144.2,190189.0,579645.7,175675.1,173059.5,339034.0,195627.7,195140.0,335741.7,179093.1,107585.7,285327.0,459171.1,155436.2,181506.7,136425.9,58702.2,57578.1,369236.0,545042.0,541671.7,558625.2,245748.3,132540.0,604271.9,197312.5,197281.5,335544.2,25878.4,167925.6,354219.4,127920.7,306527.7,243311.2,137053.2,134737.3,135824.0,127400.7,128582.0,134877.9,133939.4,136130.5,135188.2,129184.4,135165.7,24732.7,8880.4,9527.0,7561.2,0.0,2907.3,4080.6,7412.5,9725.0,8254.1,12520.6,9525.8,11012.8,101034.6,136012.3
АЗС №35454 Октябрьский пр.-1 (Вологда),611754.2,582585.5,585209.5,447963.8,448289.5,187353.9,585791.0,181820.4,179204.7,345179.3,192792.7,192305.0,332906.7,176258.1,104750.7,291472.3,465316.4,161581.4,178671.7,142571.2,55867.2,54743.0,375381.2,551187.3,547816.9,564770.4,251893.6,138685.2,610417.2,203457.7,203426.7,341689.5,23043.4,174070.8,360364.7,125085.7,312673.0,249456.4,143198.5,140882.6,141969.2,133545.9,134727.2,141023.1,140084.6,142275.8,141333.4,135329.7,141311.0,21897.6,6045.3,6691.9,4726.1,3863.3,0.0,1245.6,4577.5,6889.9,5419.0,9685.5,6690.7,8177.8,107179.9,142157.5
АЗС №35455 Октябрьский пр.-2 (Вологда),611874.9,582706.2,585330.2,448084.5,448410.2,187474.7,585911.7,181941.1,179325.4,345300.0,192913.4,192425.7,333027.4,176378.8,104871.4,291593.0,465437.1,161702.1,178792.4,142691.9,55987.9,54863.7,375501.9,551308.0,547937.6,564891.1,252014.3,138806.0,610537.9,203578.5,203547.4,341810.2,23164.1,174191.5,360485.4,125206.4,312793.7,249577.1,143319.2,141003.3,142089.9,133666.6,134847.9,141143.8,140205.3,142396.5,141454.2,135450.4,141431.7,22018.3,6166.0,6812.6,4846.8,2724.9,193.0,0.0,4698.2,7010.6,5539.7,9806.3,6811.4,8298.5,107300.6,142278.2
АЗС №35456 Маяковская,608499.3,579330.6,581954.6,444708.9,445034.6,184804.3,582536.1,178565.5,175949.9,341924.4,190243.0,189755.4,329651.8,173003.2,101495.8,288217.4,462061.5,158326.6,176122.0,139316.3,52612.3,52193.4,372126.4,547932.4,544562.1,561515.5,248638.7,135430.4,607162.3,200202.9,200171.8,338434.6,19788.5,170816.0,357109.8,122536.0,309418.1,246201.6,139943.6,137627.7,138714.3,130291.0,131472.3,137768.3,136829.8,139020.9,138078.6,132074.8,138056.1,19348.0,2790.5,3437.0,1992.0,7369.9,4838.0,4752.2,0.0,4523.7,4022.3,7319.3,3435.9,4922.9,103925.0,138902.6
